Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
9/68,"82,753","53,450","7,569","26,401","3,440","21,600","17,200","-12,791","104,700","-6,632","9,527","19,531","3,721","20,777","24,400","7,314",32,"12,210","11,541","3,003",,249,1,"39,619","3,416","13,413","17,897",462,"-3,271","-25,201",,,,,,,,,,
10/68,"67,198","52,323","4,632","26,982","7,950","37,718","6,200","1,173","73,000","-4,792","6,182","22,013","5,725","22,427","26,100","12,313","3,953","10,402","30,955","19,716",,547,"5,158","15,816","5,909","4,570","13,558",402,"9,674","9,349",,,,,,,,,,
11/68,"57,297","47,444","4,934","19,966","11,880","41,588","7,800","2,637","47,000","7,198","-5,743","19,300","6,235","31,943","23,700","7,299","3,443","13,850","26,852","19,950",,732,179,"40,743","7,379","8,516","3,429",396,"-3,605","6,123",,,,,,,,,,
12/68,"53,505","39,984","3,979","10,421","16,990","35,379","6,100","-10,083","40,000","-3,850","-5,775","17,100","5,624","43,784","25,900","-8,147","3,405","8,327","21,712","9,384",,842,0,"26,213","10,330","-6,187","-3,222",571,"-6,498","6,323",,,,,,,,,,
1/69,"54,369","41,382","4,636","11,864","18,650","34,943","11,200","-2,904","34,000","2,554","-7,917","17,400","5,557","49,852","23,500","9,362","4,105","23,089","44,244","20,728",,"5,946","26,602","25,621","47,654","5,487","-14,170","11,012","2,881","10,718",,,,,,,,,,
2/69,"43,247","30,981","4,282","14,218","9,000","29,047","10,500","17,517","21,000","2,418","4,272","15,800","4,845","42,580","19,400","11,451","3,804","17,251","21,745","37,767",,"2,732","7,621","37,854","34,100","70,193","13,899","15,275","-12,549","-45,735",,,,,,,,,,
3/69,"48,579","33,384","4,011","9,889","18,640","30,313","13,000","-3,613","37,000","20,502","36,308","25,800","26,393","56,677","32,800","33,942","9,506","47,295","48,948","16,178",,"3,972","17,882","-3,408","39,476","16,771","28,911","9,929","-44,523","-56,878",,,,,,,,,,
4/69,"152,516","125,635","11,263","107,063","37,050","183,425","231,500","-29,303","176,000","22,103","101,468","251,211","89,526","90,283","52,400","71,758","15,327","210,018","112,741","-100,473",,"2,553","37,714","16,263","82,414","32,489","34,469",480,"-14,191","-5,040",,,,,,,,,,
5/69,"495,605","350,042","35,956","242,135","56,740","293,798","202,900","-12,906","291,400","21,217","140,793","420,322","173,215","281,011","123,200","132,052","76,405","320,851","194,612","-74,021",,836,"1,101","33,727","83,624","65,074","18,571",155,"-21,260","-13,406",,,,,,,,,,
6/69,"477,203","300,220","39,721","190,113","26,640","160,542","113,600","9,376","300,200","49,421","76,121","228,490","78,626","197,180","77,400","81,704","52,156","244,222","147,663","42,211",,219,0,"-5,575","13,686","3,707","37,777",0,"-40,822","-31,893",,,,,,,,,,
7/69,"285,049","217,865","25,779","141,534","17,910","115,488","83,600","57,532","200,500","20,135","47,634","88,119","24,506","96,104","43,400","60,477","25,802","155,227","146,731","138,211",,"3,474","12,940","21,709","5,940","39,376","39,453",0,"-12,616","-37,856",,,,,,,,,,
8/69,"124,469","77,825","10,894","72,907","11,750","53,199","41,500",102,"113,800","14,897","17,179","32,544","7,339","59,287","31,300","28,045","11,882","68,445","66,888","14,684",,"3,167","7,879","61,511","4,243","14,001","31,464",0,"-25,574","1,043",,,,,,,,,,
9/69,"84,804","58,384","7,535","30,701","10,210","55,907","26,900",-193,"42,500","8,052","-7,125","25,041","4,906","27,493","32,800","23,358","7,440","68,308","57,655","19,868",,"1,660","22,773","23,766","8,807","29,389","20,688",76,"2,361","8,083",,,,,,,,,,
10/69,"99,534","62,532","8,993","57,114","15,950","81,628","15,800","-11,930","39,000","5,038","-35,353","27,700","9,105","26,675","32,900","44,105","1,421","71,638","115,349","26,840",,972,"5,653","25,964","7,686","-43,923","18,062",67,"-1,984","5,241",,,,,,,,,,
11/69,"68,529","51,090","5,966","23,334","18,870","55,974","14,400","2,627","32,000","3,968",115,"24,500","8,014","25,715","27,000","19,468","4,311","43,028","39,305","49,894",,"1,470","1,130","42,029","11,722","16,930","-7,983",92,"-6,391","16,026",,,,,,,,,,
12/69,"53,773","47,620","5,317","16,783","14,430","43,004","14,100","-10,359","25,000",332,"-9,343","22,100","5,261","40,444","24,400","9,927","5,106","28,412","21,420","34,069",,"1,396",48,"15,772","11,990","-2,100","-4,914",354,"-17,024",-944,,,,,,,,,,
1/70,"51,667","42,491","5,391","13,709","17,240","35,442","12,600","-10,431","23,000",168,"11,238","21,500","5,743","31,877","26,000","15,012","3,206","16,254","26,052","9,733",,"1,611",63,"59,814","12,974","4,627",888,553,"-3,831","-4,832",,,,,,,,,,
2/70,"48,101","30,151","4,283","10,717","14,490","31,787","11,200","-7,546","26,000",-715,"13,373","21,900","10,552","34,876","24,600","18,012","4,906","16,630","20,737","13,340",,"1,238",0,"47,469","8,664","34,796","12,629",453,"-30,779","-41,290",,,,,,,,,,
3/70,"49,606","36,671","3,997","20,903","15,820","34,117","12,900",665,"29,000","1,759","23,468","30,000","14,778","30,308","25,200","23,455","3,506","22,937","25,584","16,749",,"1,716","5,278","16,679","12,790","3,382","35,799","16,091","-34,289","-51,457",,,,,,,,,,
4/70,"89,445","46,911","2,875","68,025","21,570","25,195","54,400","-10,560","40,000","15,374","31,679","81,800","38,744","9,538","27,000","16,358","2,114","51,961","30,449","-57,488",,478,"4,628","21,671","4,028","-29,133","52,911",331,"-34,957","1,853",,,,,,,,,,
5/70,"646,924","422,136","50,598","405,010","108,530","276,652","255,900","-39,212","118,600","3,899","110,560","523,706","221,618","86,884","127,600","96,972","35,991","238,445","149,684","-164,082",,244,0,"46,487","4,833","48,178","35,553",338,"-13,591","-36,063",,,,,,,,,,
6/70,"728,044","442,839","50,628","279,517","80,440","218,970","125,600","56,956","339,200","13,221","202,055","452,643","181,674","170,962","147,800","155,250","68,236","165,545","149,403","42,380",,455,0,"20,372","3,785","14,826","38,149",193,"-30,609","-67,078",,,,,,,,,,
7/70,"324,818","218,549","23,880","140,888","27,350","109,390","68,100","53,465","190,800","14,024","67,101","143,800","38,551","82,815","61,900","86,141","26,039","72,075","98,904","134,784",,978,729,"44,410","6,044","44,709","39,836",218,"7,747","-54,078",,,,,,,,,,
8/70,"140,779","82,633","11,704","84,778","16,510","61,660","50,600","21,686","76,300","6,254","23,368","41,045","9,132","43,576","40,000","29,265","5,623","50,281","65,404","29,198",,"3,911","13,587","7,098","7,440","67,792","38,437","2,480","21,417","-11,444",,,,,,,,,,
9/70,"107,343","88,245","16,651","93,761","20,160","98,870","79,700","-11,604","42,100","9,785","12,921","20,579","5,382","23,368","31,600","11,012","2,071","218,651","240,138","8,085",,"1,065","49,523","4,752","4,987","-19,957","12,667",169,"-3,772","-25,836",,,,,,,,,,
10/70,"107,520","65,985","11,522","45,061","20,280","77,012","24,300","-7,873","37,000","2,027","52,180","29,310","11,442","12,546","32,500","23,757",461,"39,574","29,354",23,,432,679,"42,362","4,710",465,"14,212",541,"15,342","5,758",,,,,,,,,,
11/70,"78,589","57,431","6,878","32,122","19,500","53,740","19,000",842,"39,000","3,999","11,461","26,410","10,147","25,950","28,000","13,847","4,016","27,562","28,869","1,678",,"1,142",8,"32,589","10,770","14,229","11,182",515,"11,336","23,641",,,,,,,,,,
12/70,"56,439","63,306","5,343","17,857","23,350","46,028","15,100","-18,162","28,000","2,598",749,"21,610","8,354","26,908","25,800","5,401","3,806","14,883","31,142","14,596",,"1,359",67,"28,088","10,822","-16,408","5,816",611,"-9,961","4,629",,,,,,,,,,
1/71,"57,272","58,503","6,121","27,816","15,540","37,775","16,554","-17,067","32,358","5,096","31,313","24,028","8,789","39,115","26,634","22,367","3,125","30,961","25,524","-21,699",,"1,527",46,"50,751","10,429","33,689",-845,580,925,"-13,020",,,,,,,,,,
2/71,"53,969","32,413","4,709","23,917","21,616","26,490","15,352","-5,240","32,972","5,018","29,582","22,409","8,974","40,985","21,824","45,076","3,148","39,779","26,109","1,475",,"1,149",5,"12,670","9,277","-39,342","28,450",613,"-22,529","-48,473",,,,,,,,,,
3/71,"87,709","36,237","5,831","49,503","28,212","36,428","42,725","-15,393","46,835","15,918","42,103","67,801","37,788","34,470","36,032",-836,"5,200","55,093","38,416","-42,698",,"1,196",0,"3,049","8,559","-7,298","47,948",505,"-67,049","-60,375",,,,,,,,,,
4/71,"188,800","114,606","13,992","95,714","34,321","85,310","83,496","-44,110","90,322","20,068","81,609","279,362","96,806","55,983","43,937","-13,033","8,170","93,322","59,287","-40,261",,345,0,"-10,918","5,107","-20,225","33,642",126,"-6,797","-7,702",,,,,,,,,,
5/71,"416,305","207,695","19,932","141,580","40,281","174,088","116,059","-38,304","269,626","26,266","192,481","403,862","212,649","124,618","91,089","-50,295","19,704","108,957","93,746","-128,162",,416,0,"7,121","8,660","32,985","-2,723",150,"3,575","-27,342",,,,,,,,,,
6/71,"820,671","479,448","47,464","251,488","65,343","213,113","117,838","-9,934","644,113","32,189","204,755","484,039","223,221","277,463","147,326","41,888","33,420","136,490","156,209","-65,587",,198,0,"1,547","3,747","15,543","45,475",0,"-36,355","-46,618",,,,,,,,,,
7/71,"382,469","240,616","24,823","121,302","23,738","103,744","38,689","-9,109","326,247","49,292","52,206","143,519","43,317","107,258","60,304","73,639","13,518","35,078","90,292","157,508",,"1,002",130,"-11,049","3,935","47,193","53,225",0,"-35,015","-54,133",,,,,,,,,,
8/71,"158,143","99,389","12,398","64,852","7,222","61,797","28,000","-34,519","147,869","21,846","18,416","42,505","7,732","61,218","31,258","9,854","9,269","27,364","118,431","45,040",,"6,492","60,540","-11,099","18,781","73,641","40,299","8,749","-1,439","14,049",,,,,,,,,,
9/71,"117,717","81,953","8,397","44,103","8,783","64,775","13,779","-12,962","76,977","6,436","8,574","26,155","6,388","31,717","34,345","23,500","5,706","12,607","44,913","32,984",,653,"16,173","8,006","4,951","-7,055","33,668",975,"-17,445","-9,683",,,,,,,,,,
10/71,"87,033","62,651","8,414","34,118","8,416","54,411","18,126","1,228","63,838","6,014","21,420","21,523","8,334","30,619","28,480","24,229","5,885","50,596","88,968","28,237",,"2,546","75,449","13,125","9,374","-8,015","30,069",302,"-17,311","24,512",,,,,,,,,,
11/71,"67,484","47,049","5,387","31,823","10,396","53,215","10,067",-706,"50,614","4,694","25,369","22,209","8,904","35,441","28,830","8,477","5,553","34,641","45,762","44,467",,"1,232","6,062","15,099","9,719","24,249","17,941",342,"-2,749","9,857",,,,,,,,,,
12/71,"62,057","48,717","5,716","25,573","11,719","42,742","13,715",-460,"36,152","9,933","9,181","20,142","9,608","32,227","24,514","-7,780","3,065","36,445","47,557","43,302",,"2,774","28,209","26,181","21,035","-41,754","21,061",891,"-8,448","-9,922",,,,,,,,,,
1/72,"54,756","51,989","4,943","24,310","12,936","28,033","13,672","2,749","38,847","12,184","15,331","22,329","8,744","32,622","24,485","28,734","2,999","30,162","29,482","22,743",,"1,058","6,904","26,530","10,594","27,185","12,022",686,"-6,817","-10,249",,,,,,,,,,
2/72,"50,942","49,591","4,172","19,129","16,137","22,367","12,181","-13,132","41,078","16,698","24,884","26,092","24,533","34,846","22,330","31,510","4,241","33,547","27,725","-7,276",,"1,054",322,"25,460","9,021","24,551","35,000",693,"-29,825","-40,241",,,,,,,,,,
3/72,"82,219","54,601","5,305","49,402","13,478","42,558","34,037","-12,455","88,597","25,468","75,874","73,454","46,402","40,393","26,365","44,961","5,711","73,499","34,184","-5,065",,545,0,"-14,409","5,657","-23,586","15,880",733,"-17,836","-47,446",,,,,,,,,,
4/72,"129,344","65,387","11,062","57,056","15,882","19,606","29,545","-54,099","121,730","8,659","71,428","128,305","49,319","50,408","31,112","-20,734","7,158","84,544","36,892","-7,517",,311,0,"10,836","3,838","-35,820","2,846",130,"14,901","-17,614",,,,,,,,,,
5/72,"375,394","188,523","26,549","127,152","24,651","99,821","44,574","-59,591","312,217","-1,543","168,054","269,936","110,715","122,982","76,284","-54,580","20,494","126,626","92,095","-104,891",,267,0,"10,007","3,578","-28,420","-28,530",152,"29,663","-26,602",,,,,,,,,,
6/72,"663,182","426,162","41,904","184,022","29,276","144,476","58,239","-25,955","776,565","50,309","182,102","308,976","106,153","251,486","119,036","68,202","25,060","92,778","152,722","53,648",,"3,469",182,"23,999","14,981","5,983","5,064",0,"-9,500","-52,014",,,,,,,,,,
7/72,"202,239","139,857","11,655","54,248","6,014","76,904","18,265","-28,325","285,174","25,861","45,532","55,622","13,210","87,251","34,182","12,595","9,032","7,728","46,810","122,233",,444,"8,777","-52,441","4,066","5,195","48,550",0,"-34,032","-55,668",,,,,,,,,,
8/72,"121,006","77,503","6,405","34,246","1,051","45,874","10,440","-32,731","150,585","16,011","23,243","28,576","6,170","56,666","25,595","25,197","6,595","4,440","38,623","90,953",,"2,922","5,196","-17,143","11,250","14,767","40,449",328,"-6,745","3,281",,,,,,,,,,
9/72,"113,115","71,677","7,049","24,398","6,370","64,079","10,223","-21,419","82,686","7,258","9,005","21,071","3,019","29,109","26,181",77,"6,031","15,509","48,939","71,659",,"2,728","1,476","9,719","23,802","25,700","35,363",501,"-15,368","-39,080",,,,,,,,,,
10/72,"95,731","77,374","7,556","35,427","8,230","79,543","41,257","5,374","66,915","12,354","11,212","26,965","5,219","43,907","30,335","33,677","12,305","172,848","330,801","129,792",,"10,656","257,766","17,276","17,462","54,059","-8,303","19,010","9,998","42,110",,,,,,,,,,
11/72,"69,805","60,283","4,995","27,607","10,294","54,306","23,195","-15,917","51,543","11,624","12,846","23,737","9,249","35,714","25,974","41,272","5,201","66,332","71,843","51,370",,"1,866","12,101","44,644","12,524","9,966","18,058","7,448","-6,766","-5,083",,,,,,,,,,
12/72,"64,615","45,699","4,958","25,254","8,096","44,052","18,613","-33,719","39,507","3,383","24,656","22,621","6,644","41,027","25,581","-32,384","3,104","40,742","41,397","82,710",,"1,441","6,401","44,858","11,599","-53,631","29,057","5,175","-27,795","-25,202",,,,,,,,,,
1/73,"55,578","40,175","4,440","19,823","7,265","40,090","18,627","-5,332","36,091","7,424","26,316","19,760","6,303","35,499","26,923","-35,599","2,692","37,611","42,054","72,955",,925,"12,298","10,995","11,236","-31,564","11,259","2,467","-7,545","-19,510",,,,,,,,,,
2/73,"47,898","37,416","3,879","17,288","4,994","28,769","17,717","17,842","29,745","6,996","25,555","16,783","5,186","33,759","21,475","-4,544","3,739","42,513","84,943","55,813",,"3,193","24,762","47,337","14,293","9,624","16,006","28,729","-29,189","-10,961",,,,,,,,,,
3/73,"61,039","45,464","3,773","25,351","8,476","43,930","33,578","1,976","36,727","11,513","45,866","27,521","7,985","56,872","33,051","109,957","19,181","112,518","152,126","63,521",,"5,651","86,965","16,930","33,941","-26,686","50,775","75,620","-65,898","-49,933",,,,,,,,,,
4/73,"91,670","40,921","4,790","39,706","18,320","51,042","196,393","-10,420","97,462","27,783","130,667","99,055","64,488","75,765","28,925","16,217","10,714","225,724","240,610","15,648",,"3,221","236,215","-1,223","66,994","-9,105","52,984","22,377","-68,311","-32,537",,,,,,,,,,
5/73,"474,859","275,553","25,308","203,317","79,182","401,806","552,131","1,393","210,156","18,359","191,636","481,047","226,911","271,504","132,622","119,419","57,958","543,343","395,646","-230,780",,"1,213","177,197","19,500","116,549","94,648","16,546",446,"-25,629","-4,352",,,,,,,,,,
6/73,"734,472","492,989","45,596","300,327","92,873","372,665","333,296","34,767","260,899","29,837","127,519","376,337","160,659","255,276","146,430","135,824","72,342","515,739","368,410","-57,285",,520,"1,860","18,070","23,508","60,815","2,453",48,"-31,576","-45,353",,,,,,,,,,
7/73,"426,247","318,742","25,867","164,137","33,013","158,915","120,800","1,234","184,701","34,312","108,005","152,123","44,125","120,310","66,336","122,942","21,845","219,145","199,444","146,872",,260,39,"14,338","4,752","35,246","-9,446",104,"-13,996","-45,342",,,,,,,,,,
8/73,"175,233","102,439","9,828","67,759","10,165","77,152","22,338","-11,173","107,112","21,319","48,010","50,009","13,413","66,142","36,740","24,763","11,833","54,692","47,914","15,915",,"1,812",205,"17,163","4,810","-8,600",156,482,"-3,760","-7,658",,,,,,,,,,
9/73,"82,934","67,888","6,562","30,658","5,100","47,439","12,508","-28,840","84,917","19,314","44,162","21,106","8,313","40,778","29,998","27,837","6,605","43,946","62,130","6,266",,658,46,"24,505","3,346","19,483","7,703",569,"-5,485","-9,997",,,,,,,,,,
10/73,"71,900","55,214","5,187","22,467","5,306","52,327","10,069","-22,846","51,079","5,780","19,056","17,637","6,786","25,900","29,991","15,219","5,615","32,214","23,113","-27,801",,460,0,"5,471","5,213","19,619","5,639",308,"6,768","6,019",,,,,,,,,,
11/73,"67,865","47,171","4,027","18,458","11,719","46,496","9,915","11,017","52,083","8,802","15,718","21,090","10,031","36,792","27,158","22,860","4,313","25,701","19,222",-5,,952,0,"31,577","10,756","42,712","-7,593",127,"15,424","5,481",,,,,,,,,,
12/73,"55,099","48,856","4,125","20,882","11,251","45,368","13,143","-17,197","37,354","6,303","15,173","22,965","8,246","34,423","25,125","4,024","3,292","25,673","23,975","-3,324",,"1,343",0,"19,880","11,038","23,328","-11,726",276,"4,050","-7,744",,,,,,,,,,
1/74,"56,588","47,372","4,658","22,950","13,929","49,370","10,512","-35,568","35,441","6,017","12,895","19,808","6,661","28,354","24,666","30,543","3,362","26,880","31,828","3,220",,"1,335",656,"28,574","14,128","39,655","12,277",395,"-27,001","-10,214",,,,,,,,,,
2/74,"50,080","38,951","3,657","17,353","15,134","52,997","11,114","-36,744","33,290","9,916","10,289","15,946","6,417","27,826","18,783","41,188","2,908","19,833","30,162","-11,758",,"1,404",62,"25,766","9,019","8,451","19,899",427,"-31,524","-35,131",,,,,,,,,,
3/74,"72,297","52,429","3,785","35,118","19,888","69,362","30,135","-13,494","61,066","20,430","61,861","36,580","11,789","43,989","42,486","125,424","4,600","67,374","39,936","-16,634",,"1,426","8,060","35,737","9,888","35,855","30,373",619,"-45,543","-58,212",,,,,,,,,,
4/74,"125,065","69,573","7,366","59,705","25,753","106,468","98,574","-29,417","107,599","12,998","63,294","227,122","65,173","41,643","44,635","-43,410","5,386","72,992","3,264","-112,686",,515,"3,999","7,545","5,516","13,138","65,546",268,"-86,084","-39,181",,,,,,,,,,
5/74,"672,686","297,145","34,284","214,364","75,376","226,413","171,344","-42,180","240,631","5,445","181,256","605,867","261,185","150,200","132,109","-1,515","29,356","159,170","59,231","-144,134",,270,0,"12,126","4,094","-5,603","32,394",0,"-52,965","-21,590",,,,,,,,,,
6/74,"665,249","332,808","26,844","161,595","48,092","158,796","75,208","-28,482","533,417","13,830","128,086","390,944","161,208","153,613","110,131","105,838","28,972","58,423","66,075","64,351",,212,0,"18,452","3,745","26,848","35,638",0,"-51,056","-66,133",,,,,,,,,,
7/74,"305,903","138,847","10,276","63,821","9,367","95,701","40,051","3,926","252,040","17,699","48,117","101,451","25,026","79,875","48,043","59,230","15,523","34,501","56,756","122,083",,"1,175","6,643",710,"4,689",886,"69,302",21,"-59,939","-40,509",,,,,,,,,,
8/74,"142,738","83,445","5,633","46,536","2,580","55,266","27,227","-10,814","119,913","18,560","9,535","41,089","9,374","49,379","32,652","8,744","8,992","22,029","17,608","54,049",,970,"6,042","8,855","4,907","4,956","53,595",176,"-60,848","1,918",,,,,,,,,,
9/74,"80,462","45,703","3,142","14,529",-53,"40,218","10,345","-17,911","48,789","10,243","-1,897","15,707","3,601","30,527","23,078","12,734","5,338","2,536","9,869","37,359",,658,"2,801","-1,219","7,484","65,552","49,458",54,"-47,741","-4,961",,,,,,,,,,
10/74,"75,525","48,032","4,363","19,742","5,566","43,313","10,049","-11,943","35,447","9,365","-1,644","15,120","4,268","22,251","27,691","7,627","4,581","26,019","55,083","11,209",,"2,326","11,019","-6,800","9,136","61,059","26,903",149,"-24,565","26,369",,,,,,,,,,
11/74,"67,279","43,813","4,141","23,363","11,759","35,331","10,745","8,905","34,599","7,769",-877,"17,550","6,350","23,670","25,448","33,216","5,679","25,610","45,526","54,761",,"2,229","11,845","16,114","11,304","77,366",42,132,"-21,270","6,142",,,,,,,,,,
12/74,"52,677","43,258","3,426","18,442","12,921","29,980","7,745","-6,335","21,207","6,352","-4,469","9,358","4,957","23,185","18,840","18,724","2,496","12,747","28,235","2,822",,"1,069",0,"17,000","8,965","52,721","10,552",78,"-32,115","-17,287",,,,,,,,,,
1/75,"54,341","38,113","3,498","19,847","11,453","22,164","7,799","6,987","24,595","4,804","12,681","14,438","4,508","25,960","20,980","54,685","3,158","13,025","29,687","-22,498",,"1,056",12,"34,139","8,590","15,373","-9,011",93,"-22,055","-1,891",,,,,,,,,,
2/75,"52,110","32,384","3,096","16,503","7,280","20,789","9,471","5,028","25,582","4,663","14,648","17,477","5,495","25,934","21,265","45,288","3,811","15,560","27,025","11,781",,"1,601",53,"8,124","8,957","31,121","14,003",149,"-33,127","-26,156",,,,,,,,,,
3/75,"65,026","44,141","3,503","21,520","9,703","25,428","18,359","8,506","38,758","5,167","31,044","29,296","15,279","27,747","32,350","73,725","5,261","67,346","80,604","19,235",,"2,176","14,155","24,251","12,855","59,522","36,620",307,"-58,106","-57,525",,,,,,,,,,
4/75,"96,684","59,818","4,304","51,963","17,732","40,567","161,414","-75,603","59,986","5,803","31,717","95,566","25,611","34,529","29,749","20,643","6,652","201,347","85,818","-71,623",,"1,319","32,783","11,379","7,224","13,813","12,687",427,"-27,956","-24,206",,,,,,,,,,
5/75,"305,146","206,577","18,714","179,369","60,878","201,158","346,057","-63,284","149,883","10,735","132,676","343,425","166,004","119,447","79,728","11,642","12,244","386,219","183,087","-90,564",,465,"6,185","15,246","14,951","43,180","1,714",51,"-15,372","-20,353",,,,,,,,,,
6/75,"666,350","467,506","40,162","320,279","77,696","314,488","265,778","7,711","347,401","15,655","272,137","452,979","159,487","340,538","167,757","202,385","69,783","480,041","302,111","-18,197",,263,0,"7,572","5,250","11,350","3,781",33,"-14,426","-43,854",,,,,,,,,,
7/75,"496,565","383,328","30,173","234,491","50,234","195,072","172,413","-6,895","499,621","27,747","201,311","232,330","54,308","251,250","103,233","143,481","42,976","259,776","251,079","223,503",,"2,665","9,863","12,661","8,658","8,278","4,042",7,"-13,567","-47,872",,,,,,,,,,
8/75,"158,393","111,135","9,785","74,874","7,886","67,769","42,683","-22,603","138,679","18,541","31,987","51,736","13,795","53,486","38,642","40,487","10,348","33,377","60,524","70,048",,"1,204",979,"5,156","11,419","28,924",788,57,"-9,493","-41,389",,,,,,,,,,
9/75,"82,644","71,248","4,902","27,763","2,888","38,571","25,218","-29,775","57,277","9,214","8,295","20,325","7,749","18,021","29,614","27,657","8,377","30,116","51,678","47,493",,"2,248","25,529","-2,191","3,900","38,043","23,433",3,"-7,446","-14,419",,,,,,,,,,
10/75,"62,542","64,598","4,950","20,966","7,171","41,257","14,547","-19,631","48,612","2,022","6,871","17,488","6,184","17,664","28,452","16,990","1,228","8,799","22,936","9,560",,446,177,"11,119","5,812","27,219","9,383",0,"17,728","8,018",,,,,,,,,,
11/75,"57,869","56,476","4,377","24,842","6,602","49,435","10,656","-1,871","44,251","2,999","2,099","18,628","8,154","25,191","25,165","14,762","5,596","18,349","18,021","6,954",,993,0,"15,370","6,555","7,749","-6,240",0,"12,023","3,112",,,,,,,,,,
12/75,"52,692","48,981","3,646","21,810","9,550","39,836","8,969","-17,147","44,338","7,125","2,401","17,622","8,681","28,881","18,376","18,894","3,296","22,212","21,653","22,666",,"1,359",892,"1,299","8,380","31,181","-20,681",147,"13,385","-16,792",,,,,,,,,,
1/76,"51,304","45,456","3,412","21,256","14,897","30,236","10,249","-28,520","31,333","8,026","3,991","16,038","7,757","29,482","16,559","23,791","2,831","20,497","23,530","3,179",,"1,154",142,"25,143","9,608","6,625","-17,271",158,"9,266","-13,102",,,,,,,,,,
2/76,"53,908","42,071","3,258","18,318","14,649","33,427","14,946","-15,521","30,211","6,252","21,691","20,692","19,133","27,748","25,886","50,263","4,477","33,210","29,417","39,997",,"2,945","12,489","9,934","17,183","30,252","-2,859","17,305","-25,420","-13,610",,,,,,,,,,
3/76,"64,239","50,419","3,472","23,971","11,444","29,800","19,027","-16,324","38,799","14,450","40,798","33,722","25,924","33,933","33,787","60,251","2,836","53,020","21,290","7,021",,"1,535","17,823","16,681","6,899","3,045","15,717","15,734","-59,985","-53,741",,,,,,,,,,
4/76,"109,380","69,598","7,100","61,443","15,703","28,177","100,951","-36,564","131,676","7,275","63,320","89,214","40,034","42,483","31,682","11,482","5,083","105,385","13,290","-27,094",,"1,545","35,504","-3,370","7,761","18,073","17,926","14,018","-15,744","-10,975",,,,,,,,,,
