Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
6/07,"1,001,772","523,222","74,941","458,887","95,000","310,112","195,277","46,039","507,600","27,245","299,269","599,420","175,690","466,440","205,098","99,007","115,164","359,413","258,952","148,684",,435,0,"15,805","5,507","25,601","13,720",0,"-22,329","-57,654",,,,,,,,,,
7/07,"718,018","482,421","54,853","336,429","37,000","170,602","108,749","93,609","430,900","33,584","290,821","325,871","156,412","422,804","163,781","294,285","61,757","277,620","165,855","478,120",,"1,234",885,"53,356","4,978","61,237","19,910",6,"12,969","-11,502",,,,,,,,,,
8/07,"229,194","157,343","18,224","133,546","10,000","49,539","47,215","26,949","177,600","2,453","79,559","65,357","91,072","103,064","77,496","187,766","19,757","97,724","128,685","218,244",,"2,251","38,762","45,796","6,317","27,072","-26,359",111,"-2,839","-32,833",,,,,,,,,,
9/07,"116,369","74,996","9,575","70,663","4,000","35,538","30,176",694,"54,500","7,165","26,735","31,784","37,632","70,122","42,707","71,432","6,992","49,311","73,362","141,661",,"1,430","28,827","36,585","6,899","-53,320","-6,679",233,"12,243","-51,704",,,,,,,,,,
10/07,"92,511","64,260","8,749","46,451","5,600","13,234","16,771","6,757","44,300","4,952","7,455","33,334","11,660","48,834","33,406","48,534","4,695","47,900","49,514","19,895",,"2,680",0,881,"5,654","-13,438","14,618",194,"-18,625","87,834",,,,,,,,,,
11/07,"59,764","28,615","5,481","27,519","5,100","23,914",225,"7,642","34,000",928,"-1,185","20,695","8,080","34,542","27,858","27,691","4,703","33,100","17,091","11,704",,"2,535",0,"6,100","7,253","9,506","20,319",477,"-11,828","32,744",,,,,,,,,,
12/07,"46,132","19,486","5,584","20,416","1,700","32,794","4,066","-8,088","17,000",-337,"10,368","13,547","3,629","23,346","24,621","-1,906","2,357","23,600","15,961","13,854",,"1,367",0,"44,577","11,478","39,881","2,288","3,521","-8,155","-26,405",,,,,,,,,,
1/08,"52,790","38,169","3,867","21,133","2,700","31,520","6,986","6,015","17,000",322,"19,967","11,910","2,085","17,604","17,745","-6,698","3,094","25,300","22,636","-17,953",,"1,238","17,337","34,940","18,786","25,580","-56,042","6,002","-17,734","-42,377",,,,,,,,,,
2/08,"40,479","39,509","4,084","17,916","3,900","31,709","10,053","11,170","18,000",-771,"27,190","15,871","1,218","18,989","13,997","-6,268","3,215","44,100","48,872","36,310",,"3,401","10,173","28,879","16,172","61,005","-39,983","10,816","-21,423","-1,255",,,,,,,,,,
3/08,"62,629","50,442","4,530","31,470","7,000","48,303","29,886","27,990","45,000","7,710","61,696","39,989","16,264","26,355","24,988","-2,313","6,036","119,000","46,380","11,407",,"3,166","9,574","27,021","15,608","46,348","19,959","75,565","-29,399","10,040",,,,,,,,,,
4/08,"127,924","111,101","11,561","80,439","23,000","64,312","98,465","10,731","95,000","15,722","74,345","116,275","21,300","38,549","41,771","-10,804","8,420","179,000","33,355","-99,242",,"1,638","1,597","-4,463","13,332","-5,309","30,496","29,483","-8,141","-34,717",,,,,,,,,,
5/08,"244,207","156,796","18,335","116,675","30,000","81,956","77,704","27,036","218,000","3,740","56,301","242,249","68,811","74,490","67,373","-1,778","11,888","185,000","73,012","-156,181",,964,443,"-37,535","14,986","-62,172","16,288",55,586,"5,900",,,,,,,,,,
